group,order,n_params,n_eval,max_lambda1_certified,D_KY_at_max,chaotic_fraction_batch,n_certified_of_topK
C2,2,7,12000,0.40972,2.2495,0.01758,24
C3,3,7,12000,0.58893,2.3475,0.0195,24
C4,4,7,12000,0.56388,2.1955,0.00508,23
S4,4,8,12000,0.62804,2.2984,0.00208,18
C5,5,7,12000,0.50877,2.266,0.00267,22
C6,6,7,12000,0.27156,2.3522,0.00083,9
C7,7,7,12000,0.32613,2.3149,0.00058,5
C8,8,7,12000,0.17594,2.4146,0.00058,4
T,12,4,12000,0.0,None,0.00142,0
O,24,4,12000,0.02592,1.9422,0.00033,2
I,60,4,4000,0.0,None,0.00125,0
